,HomeTeam,AwayTeam,FTHG,FTAG,HS,AST,HC,AC,HF,AF,HY,AY,HR,AR
255,Scunthorpe,Salford,0,1,4,5,4,6,6,12,0,0,0,0
256,Oldham,Mansfield,2,3,5,5,6,4,13,8,2,2,0,0
257,Barrow,Scunthorpe,1,0,2,4,5,3,11,11,3,1,0,1
258,Bolton,Cheltenham,1,1,5,4,6,4,8,10,1,0,0,0
259,Colchester,Cambridge,1,1,4,2,3,6,14,8,2,2,0,0
260,Forest Green,Port Vale,1,1,5,5,5,3,5,11,0,0,0,0
261,Grimsby,Southend,0,0,1,4,2,8,23,7,2,3,0,0
262,Leyton Orient,Morecambe,2,0,4,4,5,3,9,12,2,1,0,0
263,Newport County,Salford,0,0,2,0,5,8,10,11,1,0,1,0
264,Stevenage,Tranmere,0,0,2,3,7,3,13,15,0,2,0,0
265,Walsall,Oldham,1,1,4,4,9,8,7,11,1,3,0,0
266,Cheltenham,Newport County,1,1,3,1,5,3,12,4,2,0,0,0
267,Harrogate,Exeter,0,0,5,1,3,2,11,9,0,0,1,0
268,Morecambe,Walsall,1,1,5,4,10,6,11,18,3,1,0,0
269,Southend,Cambridge,1,2,4,4,5,5,15,11,2,1,0,0
270,Tranmere,Forest Green,3,2,8,8,6,1,17,12,2,2,0,0
271,Salford,Harrogate,2,2,5,5,6,4,12,9,4,0,0,0
272,Exeter,Stevenage,3,1,7,5,5,8,6,6,0,0,0,0
273,Scunthorpe,Grimsby,3,0,5,4,3,4,17,18,2,1,0,0
274,Cambridge,Bradford,0,0,5,5,2,5,13,15,1,1,0,0
275,Leyton Orient,Forest Green,0,1,3,4,4,7,12,14,2,3,1,0
276,Morecambe,Colchester,3,0,5,3,5,6,12,16,1,0,0,1
277,Oldham,Newport County,3,2,8,3,7,3,14,7,3,1,0,1
278,Port Vale,Walsall,1,3,2,3,8,2,15,12,2,2,0,0
279,Southend,Mansfield,0,1,2,4,1,8,18,15,1,1,1,0
280,Tranmere,Bolton,2,1,3,4,6,6,11,6,2,0,0,1
281,Exeter,Morecambe,0,2,7,3,9,2,9,10,1,3,0,0
282,Cheltenham,Oldham,2,0,9,6,9,3,9,4,1,0,0,0
283,Scunthorpe,Port Vale,2,0,3,5,2,4,16,15,2,3,0,0
284,Southend,Bradford,1,3,3,8,2,8,4,9,1,0,0,0
285,Stevenage,Colchester,0,0,4,3,5,4,10,10,2,2,0,0
286,Tranmere,Harrogate,3,2,6,6,6,6,12,14,3,0,0,1
287,Colchester,Scunthorpe,0,1,2,2,3,2,10,15,3,2,0,0
288,Carlisle,Exeter,1,0,2,0,3,11,9,14,1,1,0,0
289,Bolton,Leyton Orient,2,0,4,1,9,3,12,5,0,0,0,0
290,Bradford,Barrow,2,1,5,3,4,4,12,13,1,1,0,0
291,Cambridge,Crawley Town,3,1,11,3,5,5,8,13,3,0,0,0
292,Forest Green,Cheltenham,0,0,4,1,3,1,11,13,0,2,1,0
293,Grimsby,Stevenage,1,2,2,2,6,4,11,11,1,1,0,0
294,Harrogate,Newport County,2,1,7,3,7,1,13,13,2,0,0,1
295,Morecambe,Tranmere,0,1,0,3,1,10,11,9,2,1,1,0
296,Oldham,Salford,2,1,6,4,7,5,4,9,1,1,0,0
297,Port Vale,Southend,5,1,6,1,4,2,9,15,0,3,0,0
298,Carlisle,Forest Green,1,2,5,5,3,6,24,7,2,3,0,0
299,Crawley Town,Leyton Orient,0,0,0,3,7,7,18,14,1,4,0,1
300,Stevenage,Exeter,0,1,3,4,8,5,15,12,1,1,0,0
301,Exeter,Bradford,3,2,3,2,4,3,12,16,1,3,0,0
302,Barrow,Cambridge,0,2,0,4,6,4,12,16,2,1,0,0
303,Crawley Town,Harrogate,1,3,3,6,5,6,13,20,1,1,0,1
304,Leyton Orient,Colchester,0,0,5,1,2,5,8,11,0,2,0,0
305,Newport County,Grimsby,1,0,3,6,2,2,7,9,0,1,1,0
306,Stevenage,Morecambe,2,2,6,4,6,3,14,12,0,1,0,0
307,Tranmere,Port Vale,3,1,7,3,6,5,15,10,1,2,0,0
308,Salford,Cambridge,4,1,7,2,3,1,11,6,0,0,0,0
309,Harrogate,Cheltenham,0,1,1,3,5,3,11,12,0,0,0,0
310,Walsall,Mansfield,1,1,1,3,2,7,15,16,2,2,0,0
311,Bolton,Morecambe,1,1,4,1,4,6,15,11,1,0,1,0
312,Newport County,Southend,0,1,1,2,4,3,10,9,0,0,0,0
313,Tranmere,Stevenage,0,1,2,2,4,2,15,4,1,0,0,0
314,Bolton,Stevenage,1,0,5,3,3,7,11,11,1,0,1,0
315,Cambridge,Southend,0,0,2,0,4,10,17,9,3,0,0,0
316,Colchester,Mansfield,2,2,3,2,5,9,7,9,1,0,0,0
317,Bradford,Morecambe,2,1,4,2,2,6,12,12,1,3,0,0
318,Crawley Town,Stevenage,0,1,4,5,6,1,20,17,3,6,0,0
319,Forest Green,Oldham,4,3,5,7,3,5,8,10,2,3,0,0
320,Harrogate,Carlisle,1,0,4,2,3,4,16,14,1,1,0,0
321,Newport County,Exeter,1,1,8,1,16,1,8,10,0,0,0,2
322,Salford,Barrow,1,0,2,1,2,4,14,13,2,2,0,0
323,Walsall,Cheltenham,1,2,3,5,5,2,12,11,2,0,0,0
324,Mansfield,Bolton,2,3,4,2,7,3,9,8,2,0,0,0
325,Barrow,Morecambe,1,2,3,7,6,5,10,11,2,2,0,0
326,Cheltenham,Bradford,0,2,1,3,2,3,11,12,2,1,0,0
327,Crawley Town,Colchester,1,0,3,2,4,5,12,14,1,2,0,0
328,Leyton Orient,Port Vale,1,1,4,2,9,4,13,14,2,0,0,0
329,Mansfield,Cambridge,0,3,4,5,8,2,12,17,1,0,0,0
330,Salford,Carlisle,1,1,4,2,6,2,11,15,2,2,0,0
331,Scunthorpe,Harrogate,3,1,3,3,2,8,11,8,1,0,0,0
332,Southend,Bolton,0,1,1,3,4,3,15,13,2,2,0,0
333,Stevenage,Walsall,1,1,6,2,9,3,14,12,1,1,0,1
334,Tranmere,Oldham,2,2,7,3,8,3,15,14,3,2,0,1
335,Newport County,Forest Green,0,2,1,3,2,4,11,14,2,3,0,0
336,Morecambe,Salford,2,1,4,4,6,5,16,13,2,3,0,0
337,Bolton,Scunthorpe,2,0,3,5,6,8,10,12,4,1,0,0
338,Bradford,Leyton Orient,1,0,5,0,1,6,12,9,2,1,0,0
339,Cambridge,Cheltenham,0,1,2,4,7,6,13,18,2,2,0,0
340,Carlisle,Tranmere,2,3,4,5,9,7,9,12,0,1,0,0
341,Colchester,Exeter,1,2,1,4,6,6,14,10,0,2,0,0
342,Grimsby,Crawley Town,2,1,2,5,1,7,13,12,2,2,1,0
343,Harrogate,Mansfield,1,0,2,3,5,5,20,11,1,1,0,0
344,Oldham,Barrow,0,1,5,6,7,6,14,14,1,1,0,0
345,Port Vale,Stevenage,0,0,1,1,3,2,14,11,1,1,0,0
346,Walsall,Newport County,0,1,1,4,6,5,13,11,2,0,0,0
347,Forest Green,Southend,1,3,4,4,3,5,13,14,2,2,0,0
348,Crawley Town,Exeter,2,0,6,2,3,5,20,16,3,1,0,1
349,Bolton,Barrow,1,0,5,1,10,3,8,8,0,2,0,0
350,Carlisle,Oldham,1,3,3,6,8,6,15,14,2,1,0,0
351,Harrogate,Grimsby,1,0,7,2,5,2,10,16,0,1,0,0
352,Leyton Orient,Tranmere,1,3,4,4,6,2,8,16,2,2,0,0
353,Mansfield,Morecambe,1,0,4,1,11,2,10,12,1,3,0,0
354,Newport County,Stevenage,0,0,2,3,6,1,10,15,1,0,0,0
355,Port Vale,Cambridge,0,1,3,5,4,7,11,13,0,0,0,0
356,Scunthorpe,Cheltenham,0,2,3,4,7,2,6,11,0,1,0,0
357,Southend,Salford,0,0,4,3,5,8,15,12,2,1,0,0
358,Walsall,Bradford,1,2,1,6,7,2,17,11,3,1,0,0
359,Forest Green,Colchester,3,0,5,0,5,4,7,13,0,1,1,0
360,Morecambe,Crawley Town,3,1,7,6,5,3,12,11,0,0,0,0
361,Barrow,Harrogate,0,1,4,4,0,3,9,15,1,2,0,0
362,Bradford,Mansfield,1,0,6,0,3,7,12,17,2,2,0,1
363,Cambridge,Scunthorpe,0,1,5,1,8,3,14,11,2,0,0,0
364,Cheltenham,Southend,1,0,5,0,3,0,8,7,0,0,0,0
365,Colchester,Carlisle,2,1,4,8,5,7,11,8,1,0,0,0
